F_R_NAME,          F_R_BREWER,          F_R_DATE,          F_Equipment_NOTES,          F_Style_name,          F_S_CATEGORY,          F_S_MIN_OG,          F_S_MAX_OG,          F_S_MIN_FG,          F_S_MAX_FG,          F_S_MIN_IBU,          F_S_MAX_IBU,          F_S_MIN_CARB,          F_S_MAX_CARB,          F_S_MIN_ABV,          F_S_MAX_ABV,          F_S_DESCRIPTION,          F_S_INGREDIENTS,          F_S_EXAMPLES,          F_MH_GRAIN_WEIGHT,          F_MH_GRAIN_TEMP,          F_MH_BOIL_TEMP,          F_MH_PH,          F_A_AGE,          F_R_OG_MEASURED,          F_R_FG_MEASURED,          F_R_DESCRIPTION
Prost! Weizen,          Brad Smith,          12/6/11,          Popular all grain setup.  5 Gallon Gott or Igloo cooler as mash tun with false bottom and 7-9 gallon brewpot capable of boiling at least 6 gallons of wort.  Primarily used for single infusion mashes.,          Weizen/Weissbier,          German Wheat and Rye Beer,          1.044,          1.052,          1.01,          1.014,          8,          15,          2.5,          2.9,          4.3,          5.6,          A pale spicy fruity refreshing wheatbased ale. A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round. These are refreshing fast-maturing beers that are lightly hopped and show a unique banana-and-clove yeast character. These beers often don’t age well and are best enjoyed while young and fresh. The version “mit hefe” is served with yeast sediment stirred in; the krystal version is filtered for excellent clarity. Bottles with yeast are traditionally swirled or gently rolled prior to serving. The character of a krystal weizen is generally fruitier and less phenolic than that of the hefe-weizen.,          By German law at least 50% of the grist must be malted wheat although some versions use up to 70%; the remainder is Pilsner malt. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character although extreme fermentation temperatures can affect the balance and produce off-flavors. A small amount of noble hops are used only for bitterness.,          Weihenstephaner Hefeweissbier Schneider Weisse Weizenhell Paulaner Hefe-Weizen Hacker-Pschorr Weisse Plank Bavarian Hefeweizen Ayinger Bräu Weisse Ettaler Weissbier Hell Franziskaner Hefe-Weisse Andechser Weissbier Hefetrüb Kapuziner Weissbier Erdinger Weissbier Penn Weizen Barrelhouse Hocking Hills Hefe-Weizen Eisenbahn Weizenbier,          144,          72,          212,          5.4,          30,          1.047,          1.01,          Inspired by my trip to Bavaria for Octoberfest...Greate balance smooth taste great bannana and clove flavor straw color - a great Weizen!
Hombrewden German Wheat,          Bailey,          12/6/11,          Simple Brew Pot with a 5 Gallon Capacity - leaving a workable boil volume of around 4.25 gal.  Used for extract or partial mash brewing.,          Weizen/Weissbier,          German Wheat and Rye Beer,          1.044,          1.052,          1.01,          1.014,          8,          15,          2.5,          2.9,          4.3,          5.6,          A pale spicy fruity refreshing wheatbased ale. A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round. These are refreshing fast-maturing beers that are lightly hopped and show a unique banana-and-clove yeast character. These beers often don’t age well and are best enjoyed while young and fresh. The version “mit hefe” is served with yeast sediment stirred in; the krystal version is filtered for excellent clarity. Bottles with yeast are traditionally swirled or gently rolled prior to serving. The character of a krystal weizen is generally fruitier and less phenolic than that of the hefe-weizen.,          By German law at least 50% of the grist must be malted wheat although some versions use up to 70%; the remainder is Pilsner malt. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character although extreme fermentation temperatures can affect the balance and produce off-flavors. A small amount of noble hops are used only for bitterness.,          Weihenstephaner Hefeweissbier Schneider Weisse Weizenhell Paulaner Hefe-Weizen Hacker-Pschorr Weisse Plank Bavarian Hefeweizen Ayinger Bräu Weisse Ettaler Weissbier Hell Franziskaner Hefe-Weisse Andechser Weissbier Hefetrüb Kapuziner Weissbier Erdinger Weissbier Penn Weizen Barrelhouse Hocking Hills Hefe-Weizen Eisenbahn Weizenbier,          160,          72,          212,          5.4,          30,          1.01,          1.005,          
Hefe-Wizen Beer,          Ed Terry,          12/6/11,          Simple Brew Pot with a 4 Gallon Capacity - leaving a workable boil volume of around 3.25 gal.  Used for extract or partial mash brewing.,          Weizen/Weissbier,          German Wheat and Rye Beer,          1.044,          1.052,          1.01,          1.014,          8,          15,          2.5,          2.9,          4.3,          5.6,          A pale spicy fruity refreshing wheatbased ale. A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round. These are refreshing fast-maturing beers that are lightly hopped and show a unique banana-and-clove yeast character. These beers often don’t age well and are best enjoyed while young and fresh. The version “mit hefe” is served with yeast sediment stirred in; the krystal version is filtered for excellent clarity. Bottles with yeast are traditionally swirled or gently rolled prior to serving. The character of a krystal weizen is generally fruitier and less phenolic than that of the hefe-weizen.,          By German law at least 50% of the grist must be malted wheat although some versions use up to 70%; the remainder is Pilsner malt. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character although extreme fermentation temperatures can affect the balance and produce off-flavors. A small amount of noble hops are used only for bitterness.,          Weihenstephaner Hefeweissbier Schneider Weisse Weizenhell Paulaner Hefe-Weizen Hacker-Pschorr Weisse Plank Bavarian Hefeweizen Ayinger Bräu Weisse Ettaler Weissbier Hell Franziskaner Hefe-Weisse Andechser Weissbier Hefetrüb Kapuziner Weissbier Erdinger Weissbier Penn Weizen Barrelhouse Hocking Hills Hefe-Weizen Eisenbahn Weizenbier,          160,          72,          212,          5.4,          30,          1.01,          1.005,          
Hefty-Weizen,          Jon Griffin,          12/6/11,          ,          Weizen/Weissbier,          German Wheat and Rye Beer,          1.044,          1.052,          1.01,          1.014,          8,          15,          2.5,          2.9,          4.3,          5.6,          A pale spicy fruity refreshing wheatbased ale. A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round. These are refreshing fast-maturing beers that are lightly hopped and show a unique banana-and-clove yeast character. These beers often don’t age well and are best enjoyed while young and fresh. The version “mit hefe” is served with yeast sediment stirred in; the krystal version is filtered for excellent clarity. Bottles with yeast are traditionally swirled or gently rolled prior to serving. The character of a krystal weizen is generally fruitier and less phenolic than that of the hefe-weizen.,          By German law at least 50% of the grist must be malted wheat although some versions use up to 70%; the remainder is Pilsner malt. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character although extreme fermentation temperatures can affect the balance and produce off-flavors. A small amount of noble hops are used only for bitterness.,          Weihenstephaner Hefeweissbier Schneider Weisse Weizenhell Paulaner Hefe-Weizen Hacker-Pschorr Weisse Plank Bavarian Hefeweizen Ayinger Bräu Weisse Ettaler Weissbier Hell Franziskaner Hefe-Weisse Andechser Weissbier Hefetrüb Kapuziner Weissbier Erdinger Weissbier Penn Weizen Barrelhouse Hocking Hills Hefe-Weizen Eisenbahn Weizenbier,          320,          65,          212,          5.4,          30,          1.054,          1.005,          One of the best hefes I have tasted lots of great phenolics. Wienstefan yeast really helps.
Oracle,          Fred Bonjour,          12/6/11,          30 qt (7.5 gal) Turkey Fryer with 10 Gal. Igloo Mash Tun,          Weizen/Weissbier,          German Wheat and Rye Beer,          1.044,          1.052,          1.01,          1.014,          8,          15,          2.5,          2.9,          4.3,          5.6,          A pale spicy fruity refreshing wheatbased ale. A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round. These are refreshing fast-maturing beers that are lightly hopped and show a unique banana-and-clove yeast character. These beers often don’t age well and are best enjoyed while young and fresh. The version “mit hefe” is served with yeast sediment stirred in; the krystal version is filtered for excellent clarity. Bottles with yeast are traditionally swirled or gently rolled prior to serving. The character of a krystal weizen is generally fruitier and less phenolic than that of the hefe-weizen.,          By German law at least 50% of the grist must be malted wheat although some versions use up to 70%; the remainder is Pilsner malt. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character although extreme fermentation temperatures can affect the balance and produce off-flavors. A small amount of noble hops are used only for bitterness.,          Weihenstephaner Hefeweissbier Schneider Weisse Weizenhell Paulaner Hefe-Weizen Hacker-Pschorr Weisse Plank Bavarian Hefeweizen Ayinger Bräu Weisse Ettaler Weissbier Hell Franziskaner Hefe-Weisse Andechser Weissbier Hefetrüb Kapuziner Weissbier Erdinger Weissbier Penn Weizen Barrelhouse Hocking Hills Hefe-Weizen Eisenbahn Weizenbier,          176,          72,          212,          5.4,          30,          1.057,          1.014,          
Schofferhoffer Weizen Clone,          Andrew Clark,          12/6/11,          ,          Weizen/Weissbier,          German Wheat and Rye Beer,          1.044,          1.052,          1.01,          1.014,          8,          15,          2.5,          2.9,          4.3,          5.6,          A pale spicy fruity refreshing wheatbased ale. A traditional wheat-based ale originating in Southern Germany that is a specialty for summer consumption but generally produced year-round. These are refreshing fast-maturing beers that are lightly hopped and show a unique banana-and-clove yeast character. These beers often don’t age well and are best enjoyed while young and fresh. The version “mit hefe” is served with yeast sediment stirred in; the krystal version is filtered for excellent clarity. Bottles with yeast are traditionally swirled or gently rolled prior to serving. The character of a krystal weizen is generally fruitier and less phenolic than that of the hefe-weizen.,          By German law at least 50% of the grist must be malted wheat although some versions use up to 70%; the remainder is Pilsner malt. A traditional decoction mash gives the appropriate body without cloying sweetness. Weizen ale yeasts produce the typical spicy and fruity character although extreme fermentation temperatures can affect the balance and produce off-flavors. A small amount of noble hops are used only for bitterness.,          Weihenstephaner Hefeweissbier Schneider Weisse Weizenhell Paulaner Hefe-Weizen Hacker-Pschorr Weisse Plank Bavarian Hefeweizen Ayinger Bräu Weisse Ettaler Weissbier Hell Franziskaner Hefe-Weisse Andechser Weissbier Hefetrüb Kapuziner Weissbier Erdinger Weissbier Penn Weizen Barrelhouse Hocking Hills Hefe-Weizen Eisenbahn Weizenbier,          183.4246336,          50,          212,          5.4,          30,          1.048,          1.005,          
Spiced Imperial Stout,          Fred Bonjour,          12/6/11,          30 qt (7.5 gal) Turkey Fryer with 10 Gal. Igloo Mash Tun,          Imperial Stout,          Stout,          1.075,          1.115,          1.018,          1.03,          50,          90,          1.8,          2.6,          8,          12,          An intensely flavored big dark ale. Roasty fruity and bittersweet with a noticeable alcohol presence. Dark fruit flavors meld with roasty burnt or almost tarlike sensations. Like a black barleywine with every dimension of flavor coming into play. Brewed to high gravity and hopping level in England for export to the Baltic States and Russia. Said to be popular with the Russian Imperial Court. Today is even more popular with American craft brewers who have extended the style with unique American characteristics. Variations exist with English and American interpretations (predictably the American versions have more bitterness roasted character and finishing hops while the English varieties reflect a more complex specialty malt character and a more forward ester profile). The wide range of allowable characteristics allow for maximum brewer creativity.,          Well-modified pale malt with generous quantities of roasted malts and/or grain. May have a complex grain bill using virtually any variety of malt. Any type of hops may be used. Alkaline water balances the abundance of acidic roasted grain in the grist. American or English ale yeast.,          Three Floyd’s Dark Lord Bell’s Expedition Stout North Coast Old Rasputin Imperial Stout Stone Imperial Stout Samuel Smith Imperial Stout Scotch Irish Tsarina Katarina Imperial Stout Thirsty Dog Siberian Night Deschutes The Abyss Great Divide Yeti Southampton Russian Imperial Stout Rogue Imperial Stout Bear Republic Big Bear Black Stout Great Lakes Blackout Stout Avery The Czar Founders Imperial Stout Victory Storm King Brooklyn Black Chocolate Stout,          308,          72,          212,          5.4,          56,          1.093,          1.008,          Brewed Aug 14 Great in November  needed time but worth it.  My 2004 Christmas beer
Jays 'One at a time' Imperial Stout,          Jay Russ,          12/6/11,          Popular all grain setup.  5 Gallon Gott or Igloo cooler as mash tun with false bottom and 7-9 gallon brewpot capable of boiling at least 6 gallons of wort.  Primarily used for single infusion mashes.,          Imperial Stout,          Stout,          1.075,          1.115,          1.018,          1.03,          50,          90,          1.8,          2.6,          8,          12,          An intensely flavored big dark ale. Roasty fruity and bittersweet with a noticeable alcohol presence. Dark fruit flavors meld with roasty burnt or almost tarlike sensations. Like a black barleywine with every dimension of flavor coming into play. Brewed to high gravity and hopping level in England for export to the Baltic States and Russia. Said to be popular with the Russian Imperial Court. Today is even more popular with American craft brewers who have extended the style with unique American characteristics. Variations exist with English and American interpretations (predictably the American versions have more bitterness roasted character and finishing hops while the English varieties reflect a more complex specialty malt character and a more forward ester profile). The wide range of allowable characteristics allow for maximum brewer creativity.,          Well-modified pale malt with generous quantities of roasted malts and/or grain. May have a complex grain bill using virtually any variety of malt. Any type of hops may be used. Alkaline water balances the abundance of acidic roasted grain in the grist. American or English ale yeast.,          Three Floyd’s Dark Lord Bell’s Expedition Stout North Coast Old Rasputin Imperial Stout Stone Imperial Stout Samuel Smith Imperial Stout Scotch Irish Tsarina Katarina Imperial Stout Thirsty Dog Siberian Night Deschutes The Abyss Great Divide Yeti Southampton Russian Imperial Stout Rogue Imperial Stout Bear Republic Big Bear Black Stout Great Lakes Blackout Stout Avery The Czar Founders Imperial Stout Victory Storm King Brooklyn Black Chocolate Stout,          280,          72,          212,          5.4,          30,          1.085,          1.025,          Strong imperial Stout by Jay Russ
Cossack Imperial stout,          Douglas Taylor,          12/6/11,          ,          Imperial Stout,          Stout,          1.075,          1.115,          1.018,          1.03,          50,          90,          1.8,          2.6,          8,          12,          An intensely flavored big dark ale. Roasty fruity and bittersweet with a noticeable alcohol presence. Dark fruit flavors meld with roasty burnt or almost tarlike sensations. Like a black barleywine with every dimension of flavor coming into play. Brewed to high gravity and hopping level in England for export to the Baltic States and Russia. Said to be popular with the Russian Imperial Court. Today is even more popular with American craft brewers who have extended the style with unique American characteristics. Variations exist with English and American interpretations (predictably the American versions have more bitterness roasted character and finishing hops while the English varieties reflect a more complex specialty malt character and a more forward ester profile). The wide range of allowable characteristics allow for maximum brewer creativity.,          Well-modified pale malt with generous quantities of roasted malts and/or grain. May have a complex grain bill using virtually any variety of malt. Any type of hops may be used. Alkaline water balances the abundance of acidic roasted grain in the grist. American or English ale yeast.,          Three Floyd’s Dark Lord Bell’s Expedition Stout North Coast Old Rasputin Imperial Stout Stone Imperial Stout Samuel Smith Imperial Stout Scotch Irish Tsarina Katarina Imperial Stout Thirsty Dog Siberian Night Deschutes The Abyss Great Divide Yeti Southampton Russian Imperial Stout Rogue Imperial Stout Bear Republic Big Bear Black Stout Great Lakes Blackout Stout Avery The Czar Founders Imperial Stout Victory Storm King Brooklyn Black Chocolate Stout,          276,          72,          212,          5.4,          168,          1.01,          1.005,          
Sweet Stout,          Fred Bonjour,          12/6/11,          ,          Sweet Stout,          Stout,          1.044,          1.06,          1.012,          1.024,          20,          40,          2,          2.4,          4,          6,          A very dark sweet full-bodied slightly roasty ale. Often tastes like sweetened espresso. An English style of stout. Historically known as “Milk” or “Cream” stouts legally this designation is no longer permitted in England (but is acceptable elsewhere). The “milk” name is derived from the use of lactose or milk sugar as a sweetener. Gravities are low in England higher in exported and US products. Variations exist with the level of residual sweetness the intensity of the roast character and the balance between the two being the variables most subject to interpretation.,          The sweetness in most Sweet Stouts comes from a lower bitterness level than dry stouts and a high percentage of unfermentable dextrins. Lactose an unfermentable sugar is frequently added to provide additional residual sweetness. Base of pale malt and may use roasted barley black malt chocolate malt crystal malt and adjuncts such as maize or treacle. High carbonate water is common.,          Mackeson's XXX Stout Watney's Cream Stout Farson’s Lacto Stout St. Peter’s Cream Stout Marston’s Oyster Stout Sheaf Stout Hitachino Nest Sweet Stout (Lacto) Samuel Adams Cream Stout Left Hand Milk Stout Widmer Snowplow Milk Stout,          224.0013595,          72,          212,          5.4,          30,          1.056,          1.028,          Extract version 2nd Place Stout 2002 OTM Over The Mill
Rusty Red-KilKenny Draught,          Ed Terry,          12/6/11,          Simple Brew Pot with a 4 Gallon Capacity - leaving a workable boil volume of around 3.25 gal.  Used for extract or partial mash brewing.,          Sweet Stout,          Stout,          1.044,          1.06,          1.012,          1.024,          20,          40,          2,          2.4,          4,          6,          A very dark sweet full-bodied slightly roasty ale. Often tastes like sweetened espresso. An English style of stout. Historically known as “Milk” or “Cream” stouts legally this designation is no longer permitted in England (but is acceptable elsewhere). The “milk” name is derived from the use of lactose or milk sugar as a sweetener. Gravities are low in England higher in exported and US products. Variations exist with the level of residual sweetness the intensity of the roast character and the balance between the two being the variables most subject to interpretation.,          The sweetness in most Sweet Stouts comes from a lower bitterness level than dry stouts and a high percentage of unfermentable dextrins. Lactose an unfermentable sugar is frequently added to provide additional residual sweetness. Base of pale malt and may use roasted barley black malt chocolate malt crystal malt and adjuncts such as maize or treacle. High carbonate water is common.,          Mackeson's XXX Stout Watney's Cream Stout Farson’s Lacto Stout St. Peter’s Cream Stout Marston’s Oyster Stout Sheaf Stout Hitachino Nest Sweet Stout (Lacto) Samuel Adams Cream Stout Left Hand Milk Stout Widmer Snowplow Milk Stout,          17.6,          72,          212,          5.4,          30,          1.01,          1.005,          Should be smooth and creamy if keging use the Guiness type of spout with co2 and nitrogen to dispense.. The head will be light foam and stick to the upper lip..
Jays Mandy Milk Stout,          Jay Russ,          12/6/11,          Popular all grain setup.  5 Gallon Gott or Igloo cooler as mash tun with false bottom and 7-9 gallon brewpot capable of boiling at least 6 gallons of wort.  Primarily used for single infusion mashes.,          Sweet Stout,          Stout,          1.044,          1.06,          1.012,          1.024,          20,          40,          2,          2.4,          4,          6,          A very dark sweet full-bodied slightly roasty ale. Often tastes like sweetened espresso. An English style of stout. Historically known as “Milk” or “Cream” stouts legally this designation is no longer permitted in England (but is acceptable elsewhere). The “milk” name is derived from the use of lactose or milk sugar as a sweetener. Gravities are low in England higher in exported and US products. Variations exist with the level of residual sweetness the intensity of the roast character and the balance between the two being the variables most subject to interpretation.,          The sweetness in most Sweet Stouts comes from a lower bitterness level than dry stouts and a high percentage of unfermentable dextrins. Lactose an unfermentable sugar is frequently added to provide additional residual sweetness. Base of pale malt and may use roasted barley black malt chocolate malt crystal malt and adjuncts such as maize or treacle. High carbonate water is common.,          Mackeson's XXX Stout Watney's Cream Stout Farson’s Lacto Stout St. Peter’s Cream Stout Marston’s Oyster Stout Sheaf Stout Hitachino Nest Sweet Stout (Lacto) Samuel Adams Cream Stout Left Hand Milk Stout Widmer Snowplow Milk Stout,          152,          72,          212,          5.4,          30,          1.056,          1.023,          Sweet milk stout (cream stout) - lots of body heavy and sweet.  A great beer if you like sweet stouts.
